# Observation File: surface_outlet_flux.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface outlet flux
# Region: surface outlet
# Functional: extensive integral
# Variable: surface-mass_flux
# Number of Vectors: 1
# =============================================================================
"time [s]" "surface outlet flux"
0.000000000000e+00 0.000000000000e+00
6.000000000000e+02 3.521583418951e-02
1.200000000000e+03 9.313504009366e+00
1.800000000000e+03 9.477716950636e+01
2.400000000000e+03 1.613528309717e+02
3.000000000000e+03 1.825781061315e+02
3.600000000000e+03 2.031295053858e+02
4.200000000000e+03 2.255823569870e+02
4.800000000000e+03 2.462021880694e+02
5.400000000000e+03 2.696560810870e+02
6.000000000000e+03 2.966238216800e+02
6.600000000000e+03 3.255849812663e+02
7.200000000000e+03 3.810874100736e+02
7.800000000000e+03 4.383787636130e+02
8.400000000000e+03 4.904597018845e+02
9.000000000000e+03 5.409509513617e+02
9.600000000000e+03 5.550783368653e+02
1.020000000000e+04 5.550837858067e+02
1.080000000000e+04 5.550837558100e+02
1.140000000000e+04 5.550837378234e+02
1.200000000000e+04 5.550837414616e+02
1.260000000000e+04 5.550837011043e+02
1.320000000000e+04 5.550836526829e+02
1.380000000000e+04 5.550837534504e+02
1.440000000000e+04 5.550837805125e+02
1.500000000000e+04 5.550838058897e+02
1.560000000000e+04 5.550837036590e+02
1.620000000000e+04 5.550837325501e+02
1.680000000000e+04 5.550837496448e+02
1.740000000000e+04 5.550837667395e+02
1.800000000000e+04 5.550837838340e+02
1.860000000000e+04 5.550836619444e+02
1.920000000000e+04 5.550837525105e+02
1.980000000000e+04 5.550837755296e+02
2.040000000000e+04 5.550836628762e+02
2.100000000000e+04 5.550837372481e+02
2.160000000000e+04 5.550837906502e+02
2.220000000000e+04 5.550837301264e+02
2.280000000000e+04 5.550837166821e+02
2.340000000000e+04 5.550837032376e+02
2.400000000000e+04 5.550836897932e+02
2.460000000000e+04 5.550838197348e+02
2.520000000000e+04 5.550836938319e+02
2.580000000000e+04 5.550837310437e+02
2.640000000000e+04 5.550837935076e+02
2.700000000000e+04 5.550837142746e+02
2.760000000000e+04 5.550837599855e+02
2.820000000000e+04 5.550837261057e+02
2.880000000000e+04 5.550837142579e+02
2.940000000000e+04 5.550837024101e+02
3.000000000000e+04 5.550836905621e+02
3.060000000000e+04 5.550836787139e+02
3.120000000000e+04 5.550837408817e+02
3.180000000000e+04 5.550837676473e+02
3.240000000000e+04 5.550837856447e+02
3.300000000000e+04 5.550837357201e+02
3.360000000000e+04 5.550837481527e+02
3.420000000000e+04 5.550837368011e+02
3.480000000000e+04 5.550836521916e+02
3.540000000000e+04 5.550837704250e+02
3.600000000000e+04 5.550837514938e+02
3.660000000000e+04 6.148764833475e+01
3.720000000000e+04 4.352999253258e+01
3.780000000000e+04 3.744664289870e+01
3.840000000000e+04 3.368462837810e+01
3.900000000000e+04 2.983578872194e+01
3.960000000000e+04 2.589597796571e+01
4.020000000000e+04 2.241701476227e+01
4.080000000000e+04 1.977485135461e+01
4.140000000000e+04 1.779757034855e+01
4.200000000000e+04 1.621727113855e+01
4.260000000000e+04 1.498494258345e+01
4.320000000000e+04 1.395704875248e+01
4.380000000000e+04 1.304816692957e+01
4.440000000000e+04 1.222248426942e+01
4.500000000000e+04 1.146656326843e+01
4.560000000000e+04 1.076642688832e+01
4.620000000000e+04 1.010083838438e+01
4.680000000000e+04 9.473373460926e+00
4.740000000000e+04 8.887760428918e+00
4.800000000000e+04 8.350364184629e+00
4.860000000000e+04 7.865167988402e+00
4.920000000000e+04 7.426697512713e+00
4.980000000000e+04 7.036673822866e+00
5.040000000000e+04 6.687664351435e+00
5.100000000000e+04 6.375707927080e+00
5.160000000000e+04 6.094743921006e+00
5.220000000000e+04 5.843125681227e+00
5.280000000000e+04 5.614906996170e+00
5.340000000000e+04 5.410001089247e+00
5.400000000000e+04 5.224625158576e+00
5.460000000000e+04 5.054271601855e+00
5.520000000000e+04 4.900060347451e+00
5.580000000000e+04 4.758210958549e+00
5.640000000000e+04 4.632247670257e+00
5.700000000000e+04 4.516185834003e+00
5.760000000000e+04 4.409193199496e+00
5.820000000000e+04 4.311246326740e+00
5.880000000000e+04 4.220007645376e+00
5.940000000000e+04 4.134037307530e+00
6.000000000000e+04 4.052637515987e+00
6.060000000000e+04 3.977316957597e+00
6.120000000000e+04 3.909317434056e+00
6.180000000000e+04 3.846310423618e+00
6.240000000000e+04 3.787445885106e+00
6.300000000000e+04 3.728806728799e+00
6.360000000000e+04 3.674865809039e+00
6.420000000000e+04 3.623531500890e+00
6.480000000000e+04 3.575093372079e+00
6.540000000000e+04 3.530051473615e+00
6.600000000000e+04 3.486160249981e+00
6.660000000000e+04 3.444108551083e+00
6.720000000000e+04 3.404005187080e+00
6.780000000000e+04 3.365175374335e+00
6.840000000000e+04 3.327868025991e+00
6.900000000000e+04 3.291561554789e+00
