# Observation File: observation_flux.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: observation mass flux
# Region: observation region
# Functional: extensive integral
# Variable: mass_flux
# Number of Vectors: 1
# =============================================================================
"time [s]" "observation mass flux"
0.000000000000e+00 1.475712404037e-15
6.000000000000e+02 1.475712424772e-15
1.200000000000e+03 1.475712445506e-15
1.800000000000e+03 1.475712466076e-15
2.400000000000e+03 1.475712486646e-15
3.000000000000e+03 1.475712507215e-15
3.600000000000e+03 1.475712527959e-15
4.200000000000e+03 1.475712548694e-15
4.800000000000e+03 1.475712569260e-15
5.400000000000e+03 1.475712590172e-15
6.000000000000e+03 1.475712610907e-15
6.600000000000e+03 1.475712631473e-15
7.200000000000e+03 1.475712652208e-15
7.800000000000e+03 1.475712672952e-15
8.400000000000e+03 1.475712693686e-15
9.000000000000e+03 1.475712714256e-15
9.600000000000e+03 1.475712734826e-15
1.020000000000e+04 1.475712755570e-15
1.080000000000e+04 1.475712776136e-15
1.140000000000e+04 1.475712797039e-15
1.200000000000e+04 1.475712817605e-15
1.260000000000e+04 1.475712838340e-15
1.320000000000e+04 1.475712859074e-15
1.380000000000e+04 1.475712879812e-15
1.440000000000e+04 1.475712900391e-15
1.500000000000e+04 1.475712920957e-15
1.560000000000e+04 1.475712941860e-15
1.620000000000e+04 1.475712962594e-15
1.680000000000e+04 1.475712983170e-15
1.740000000000e+04 1.475713004073e-15
1.800000000000e+04 1.475713024639e-15
1.860000000000e+04 1.475713045215e-15
1.920000000000e+04 1.475713065785e-15
1.980000000000e+04 1.475713086523e-15
2.040000000000e+04 1.475713107257e-15
2.100000000000e+04 1.475713127833e-15
2.160000000000e+04 1.475713148568e-15
2.220000000000e+04 1.475713169134e-15
2.280000000000e+04 1.475713189869e-15
2.340000000000e+04 1.475713210606e-15
2.400000000000e+04 1.475713231176e-15
2.460000000000e+04 1.475713252075e-15
2.520000000000e+04 1.475713272651e-15
2.580000000000e+04 1.475713293221e-15
2.640000000000e+04 1.475713313791e-15
2.700000000000e+04 1.475713334360e-15
2.760000000000e+04 1.475713354936e-15
2.820000000000e+04 1.475713375671e-15
2.880000000000e+04 1.475713396241e-15
2.940000000000e+04 1.475713416975e-15
3.000000000000e+04 1.475713437719e-15
3.060000000000e+04 1.475713458454e-15
3.120000000000e+04 1.475713479188e-15
3.180000000000e+04 1.475713499932e-15
3.240000000000e+04 1.475713520499e-15
3.300000000000e+04 1.475713541068e-15
3.360000000000e+04 1.475713561638e-15
3.420000000000e+04 1.475713582372e-15
3.480000000000e+04 1.475713602942e-15
3.540000000000e+04 1.475713623676e-15
3.600000000000e+04 1.475713644243e-15
3.660000000000e+04 1.475713664987e-15
3.720000000000e+04 1.475713685560e-15
3.780000000000e+04 1.475713706294e-15
3.840000000000e+04 1.475713727038e-15
3.900000000000e+04 1.475713747605e-15
3.960000000000e+04 1.475713768339e-15
4.020000000000e+04 1.475713789074e-15
4.080000000000e+04 1.475713809818e-15
4.140000000000e+04 1.475713830552e-15
4.200000000000e+04 1.475713851122e-15
4.260000000000e+04 1.475713871866e-15
4.320000000000e+04 1.475713892601e-15
4.380000000000e+04 1.475713913335e-15
4.440000000000e+04 1.475713934070e-15
4.500000000000e+04 1.475713954639e-15
4.560000000000e+04 1.475713975374e-15
4.620000000000e+04 1.475713995943e-15
4.680000000000e+04 1.475714016678e-15
4.740000000000e+04 1.475714037587e-15
4.800000000000e+04 1.475714058321e-15
4.860000000000e+04 1.475714078891e-15
4.920000000000e+04 1.475714099467e-15
4.980000000000e+04 1.475714120201e-15
5.040000000000e+04 1.475714140771e-15
5.100000000000e+04 1.475714161341e-15
5.160000000000e+04 1.475714181917e-15
5.220000000000e+04 1.475714202651e-15
5.280000000000e+04 1.475714223386e-15
5.340000000000e+04 1.475714244120e-15
5.400000000000e+04 1.475714264861e-15
5.460000000000e+04 1.475714285434e-15
5.520000000000e+04 1.475714306333e-15
5.580000000000e+04 1.475714327236e-15
5.640000000000e+04 1.475714347802e-15
5.700000000000e+04 1.475714368536e-15
5.760000000000e+04 1.475714389109e-15
5.820000000000e+04 1.475714409853e-15
5.880000000000e+04 1.475714430420e-15
5.940000000000e+04 1.475714450990e-15
6.000000000000e+04 1.475714471556e-15
6.060000000000e+04 1.475714492465e-15
6.120000000000e+04 1.475714513035e-15
6.180000000000e+04 1.475714533607e-15
6.240000000000e+04 1.475714554180e-15
6.300000000000e+04 1.475714574750e-15
6.360000000000e+04 1.475714595484e-15
6.420000000000e+04 1.475714616219e-15
6.480000000000e+04 1.475714636795e-15
6.540000000000e+04 1.475714657529e-15
6.600000000000e+04 1.475714678432e-15
6.660000000000e+04 1.475714698998e-15
6.720000000000e+04 1.475714719736e-15
6.780000000000e+04 1.475714740309e-15
6.840000000000e+04 1.475714761043e-15
6.900000000000e+04 1.475714781784e-15
6.960000000000e+04 1.475714802351e-15
7.020000000000e+04 1.475714822920e-15
7.080000000000e+04 1.475714843490e-15
7.140000000000e+04 1.475714864234e-15
7.200000000000e+04 1.475714884804e-15
7.260000000000e+04 1.475714905370e-15
7.320000000000e+04 1.475714925937e-15
7.380000000000e+04 1.475714946681e-15
7.440000000000e+04 1.475714967418e-15
7.500000000000e+04 1.475714988153e-15
7.560000000000e+04 1.475715008897e-15
7.620000000000e+04 1.475715029467e-15
7.680000000000e+04 1.475715050033e-15
7.740000000000e+04 1.475715070768e-15
7.800000000000e+04 1.475715091502e-15
7.860000000000e+04 1.475715112236e-15
7.920000000000e+04 1.475715132806e-15
7.980000000000e+04 1.475715153541e-15
8.040000000000e+04 1.475715174120e-15
8.100000000000e+04 1.475715194690e-15
8.160000000000e+04 1.475715215256e-15
8.220000000000e+04 1.475715236000e-15
8.280000000000e+04 1.475715256570e-15
8.340000000000e+04 1.475715277304e-15
8.400000000000e+04 1.475715298039e-15
8.460000000000e+04 1.475715318618e-15
8.520000000000e+04 1.475715339517e-15
8.580000000000e+04 1.475715360087e-15
8.640000000000e+04 1.475715380657e-15
8.700000000000e+04 1.475715401233e-15
8.760000000000e+04 1.475715421802e-15
8.820000000000e+04 1.475715442372e-15
8.880000000000e+04 1.475715463106e-15
8.940000000000e+04 1.475715483841e-15
9.000000000000e+04 1.475715504407e-15
9.060000000000e+04 1.475715525142e-15
9.120000000000e+04 1.475715545721e-15
9.180000000000e+04 1.475715566620e-15
9.240000000000e+04 1.475715587355e-15
9.300000000000e+04 1.475715607931e-15
9.360000000000e+04 1.475715628669e-15
9.420000000000e+04 1.475715649238e-15
9.480000000000e+04 1.475715669973e-15
9.540000000000e+04 1.475715690714e-15
9.600000000000e+04 1.475715711283e-15
9.660000000000e+04 1.475715732018e-15
9.720000000000e+04 1.475715752587e-15
9.780000000000e+04 1.475715773167e-15
9.840000000000e+04 1.475715793733e-15
9.900000000000e+04 1.475715814468e-15
9.960000000000e+04 1.475715835202e-15
1.002000000000e+05 1.475715855772e-15
1.008000000000e+05 1.475715876671e-15
1.014000000000e+05 1.475715897244e-15
1.020000000000e+05 1.475715918149e-15
1.026000000000e+05 1.475715938884e-15
1.032000000000e+05 1.475715959454e-15
1.038000000000e+05 1.475715980188e-15
1.044000000000e+05 1.475716000767e-15
1.050000000000e+05 1.475716021502e-15
1.056000000000e+05 1.475716042236e-15
1.062000000000e+05 1.475716062816e-15
1.068000000000e+05 1.475716083550e-15
1.074000000000e+05 1.475716104116e-15
1.080000000000e+05 1.475716124851e-15
1.086000000000e+05 1.475716145763e-15
1.092000000000e+05 1.475716166329e-15
1.098000000000e+05 1.475716187064e-15
1.104000000000e+05 1.475716207637e-15
1.110000000000e+05 1.475716228371e-15
1.116000000000e+05 1.475716249106e-15
1.122000000000e+05 1.475716269672e-15
1.128000000000e+05 1.475716290416e-15
1.134000000000e+05 1.475716310986e-15
1.140000000000e+05 1.475716331720e-15
1.146000000000e+05 1.475716352455e-15
1.152000000000e+05 1.475716373034e-15
1.158000000000e+05 1.475716393933e-15
1.164000000000e+05 1.475716414503e-15
1.170000000000e+05 1.475716435069e-15
1.176000000000e+05 1.475716455649e-15
1.182000000000e+05 1.475716476215e-15
1.188000000000e+05 1.475716496788e-15
1.194000000000e+05 1.475716517361e-15
1.200000000000e+05 1.475716537934e-15
1.206000000000e+05 1.475716558668e-15
1.212000000000e+05 1.475716579235e-15
1.218000000000e+05 1.475716599972e-15
1.224000000000e+05 1.475716620707e-15
1.230000000000e+05 1.475716641441e-15
1.236000000000e+05 1.475716662176e-15
1.242000000000e+05 1.475716682755e-15
1.248000000000e+05 1.475716703490e-15
1.254000000000e+05 1.475716724224e-15
1.260000000000e+05 1.475716744797e-15
