# Observation File: surface_free_ion_species_pflotran.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface free concentration
# Region: east conc
# Functional: average
# Variable: surface-free_ion_species
# Number of Vectors: 4
# =============================================================================
"time [s]" "surface free concentration"
4.320000000000e+06 2.139416653623e-08 1.957706974939e-03 9.760711942037e-04 1.000000000000e-03
4.406400000000e+06 1.284203931386e-08 1.400589237570e-03 7.028263464904e-04 6.877463161715e-04
4.492800000000e+06 1.304892742585e-08 1.412915767088e-03 7.088609944011e-04 6.944975658848e-04
4.579200000000e+06 1.356101377258e-08 1.442001572495e-03 7.230906688595e-04 7.105340117979e-04
4.665600000000e+06 1.390520502073e-08 1.459925343231e-03 7.318489634834e-04 7.205238613540e-04
4.752000000000e+06 1.409194192098e-08 1.469380232941e-03 7.364678753531e-04 7.258174500088e-04
4.838400000000e+06 1.422991934331e-08 1.476625462219e-03 7.400101531547e-04 7.298643735114e-04
4.924800000000e+06 1.437234542067e-08 1.484292800497e-03 7.437608710794e-04 7.341412627929e-04
5.011200000000e+06 1.452838029593e-08 1.492706901572e-03 7.479045222810e-04 7.388132425265e-04
5.097600000000e+06 1.470124937530e-08 1.501974483085e-03 7.524916128931e-04 7.439460684276e-04
5.184000000000e+06 1.488737253608e-08 1.511914385898e-03 7.574198629568e-04 7.494525472754e-04
5.270400000000e+06 1.508573873886e-08 1.522484341590e-03 7.626837318702e-04 7.552956827760e-04
5.356800000000e+06 1.529854567005e-08 1.533796019496e-03 7.683744152718e-04 7.615055108351e-04
5.443200000000e+06 1.553385134748e-08 1.546285297262e-03 7.747522189143e-04 7.682847338775e-04
5.529600000000e+06 1.581276536642e-08 1.561119050556e-03 7.824458561802e-04 7.762387161070e-04
5.616000000000e+06 1.621670646906e-08 1.582956699824e-03 7.938252559380e-04 7.879115106455e-04
5.702400000000e+06 1.670643293606e-08 1.609140785445e-03 8.076990329034e-04 8.017523456221e-04
5.788800000000e+06 1.691480204562e-08 1.618014228413e-03 8.134136532353e-04 8.056110776033e-04
5.875200000000e+06 1.713409015365e-08 1.629250167599e-03 8.206907641746e-04 8.103478225799e-04
5.961600000000e+06 1.722616793838e-08 1.632358837092e-03 8.242416610052e-04 8.102917094643e-04
6.048000000000e+06 1.726482571867e-08 1.633001121464e-03 8.267723980702e-04 8.086340947952e-04
6.134400000000e+06 1.727818603119e-08 1.632295004932e-03 8.287513826418e-04 8.061054669006e-04
6.220800000000e+06 1.726840020496e-08 1.630264832841e-03 8.301234224272e-04 8.027877757624e-04
6.307200000000e+06 1.724250705487e-08 1.627369578586e-03 8.310746168953e-04 7.989750388021e-04
6.393600000000e+06 1.721562763782e-08 1.624511580852e-03 8.320398407645e-04 7.951831320640e-04
6.480000000000e+06 1.719537381831e-08 1.622060745045e-03 8.332035112978e-04 7.916213794519e-04
6.566400000000e+06 2.034692433385e-08 1.880118343186e-03 9.665956487194e-04 9.288289896695e-04
6.652800000000e+06 2.027201050361e-08 1.874241600166e-03 9.660603226350e-04 9.232924076555e-04
6.739200000000e+06 2.020299360012e-08 1.868813170847e-03 9.655688431554e-04 9.181773826685e-04
6.825600000000e+06 2.013965733183e-08 1.863817534194e-03 9.651220351542e-04 9.134667735278e-04
6.912000000000e+06 2.008252955097e-08 1.859300774629e-03 9.647224401423e-04 9.092050202067e-04
6.998400000000e+06 2.003261826085e-08 1.855347096991e-03 9.643755780879e-04 9.054728846771e-04
7.084800000000e+06 1.999058324059e-08 1.852012586905e-03 9.640847607394e-04 9.023243545542e-04
7.171200000000e+06 1.995641260272e-08 1.849299204340e-03 9.638489995410e-04 8.997619761273e-04
7.257600000000e+06 1.992950095510e-08 1.847160823752e-03 9.636635712382e-04 8.977425640531e-04
7.344000000000e+06 1.990889237685e-08 1.845522606928e-03 9.635216351463e-04 8.961955675586e-04
7.430400000000e+06 1.989350001658e-08 1.844298669944e-03 9.634156538176e-04 8.950398445849e-04
7.516800000000e+06 1.988229009629e-08 1.843406955527e-03 9.633385648109e-04 8.941977921183e-04
7.603200000000e+06 1.987443999879e-08 1.842782114845e-03 9.632847417278e-04 8.936076249003e-04
7.689600000000e+06 1.987219948208e-08 1.842603681551e-03 9.632694265722e-04 8.934390527933e-04
