# Observation File: surface_outlet_flux_pflotran.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface outlet flux
# Region: surface boundary
# Functional: extensive integral
# Variable: surface-mass_flux
# Number of Vectors: 1
# =============================================================================
"time [s]" "surface outlet flux"
4.320000000000e+06 1.263336659023e+01
4.406400000000e+06 1.777568471272e+01
4.492800000000e+06 1.816762542463e+01
4.579200000000e+06 1.917382035613e+01
4.665600000000e+06 1.986024393017e+01
4.752000000000e+06 2.024455204882e+01
4.838400000000e+06 2.054809067379e+01
4.924800000000e+06 2.087868865209e+01
5.011200000000e+06 2.126372046449e+01
5.097600000000e+06 2.170317459612e+01
5.184000000000e+06 2.219627186415e+01
5.270400000000e+06 2.275183618011e+01
5.356800000000e+06 2.339036751003e+01
5.443200000000e+06 2.415745728416e+01
5.529600000000e+06 2.516009680732e+01
5.616000000000e+06 2.680392911138e+01
5.702400000000e+06 2.914429857492e+01
5.788800000000e+06 3.033393486517e+01
5.875200000000e+06 3.195264460141e+01
5.961600000000e+06 3.291423526603e+01
6.048000000000e+06 3.368602204031e+01
6.134400000000e+06 3.435329425146e+01
6.220800000000e+06 3.488522821566e+01
6.307200000000e+06 3.531416197238e+01
6.393600000000e+06 3.574748992465e+01
6.480000000000e+06 3.623775469014e+01
6.566400000000e+06 2.942689746396e+01
6.652800000000e+06 2.810292576334e+01
6.739200000000e+06 2.717208939392e+01
6.825600000000e+06 2.656110996845e+01
6.912000000000e+06 2.611616808562e+01
6.998400000000e+06 2.571405036755e+01
7.084800000000e+06 2.528743988868e+01
7.171200000000e+06 2.481604234052e+01
7.257600000000e+06 2.430327053189e+01
7.344000000000e+06 2.375959491998e+01
7.430400000000e+06 2.320382133412e+01
7.516800000000e+06 2.265359491013e+01
7.603200000000e+06 2.211388950969e+01
7.689600000000e+06 2.158462072737e+01
7.776000000000e+06 2.106133805522e+01
7.862400000000e+06 2.053586574085e+01
7.948800000000e+06 1.999718663566e+01
8.035200000000e+06 1.943289255548e+01
8.121600000000e+06 1.882282482433e+01
8.208000000000e+06 1.825706048591e+01
8.294400000000e+06 1.772993066174e+01
8.380800000000e+06 1.720647514548e+01
8.467200000000e+06 1.669004575800e+01
8.553600000000e+06 1.618501558062e+01
8.640000000000e+06 1.569502118233e+01
8.726400000000e+06 2.674760676637e+01
8.812800000000e+06 3.031109868843e+01
8.899200000000e+06 3.279087852021e+01
8.985600000000e+06 3.696617965791e+01
9.072000000000e+06 4.194077373120e+01
9.158400000000e+06 4.503082019307e+01
9.244800000000e+06 4.736915428832e+01
9.331200000000e+06 4.905902126883e+01
9.417600000000e+06 5.037109546708e+01
9.504000000000e+06 5.153696647054e+01
9.590400000000e+06 5.286138916332e+01
9.676800000000e+06 5.573647683306e+01
9.763200000000e+06 5.892565918956e+01
9.849600000000e+06 6.127186602237e+01
9.936000000000e+06 6.314318434569e+01
1.002240000000e+07 6.499639801071e+01
1.010880000000e+07 6.760055420151e+01
1.019520000000e+07 7.173649450462e+01
1.028160000000e+07 7.453235600728e+01
1.036800000000e+07 7.768071226692e+01
1.045440000000e+07 8.144016621224e+01
1.054080000000e+07 8.399045814884e+01
1.062720000000e+07 8.584051745300e+01
1.071360000000e+07 8.743985461939e+01
1.080000000000e+07 8.916873398357e+01
1.088640000000e+07 7.144641406720e+01
1.097280000000e+07 6.704930638085e+01
1.105920000000e+07 6.338889030670e+01
1.114560000000e+07 6.075891581204e+01
1.123200000000e+07 5.862331047641e+01
1.131840000000e+07 5.670167327848e+01
1.140480000000e+07 5.472876375322e+01
1.149120000000e+07 5.231188588728e+01
1.157760000000e+07 4.991846618131e+01
1.166400000000e+07 4.788495442156e+01
1.175040000000e+07 4.608244338314e+01
1.183680000000e+07 4.445730866479e+01
1.192320000000e+07 4.297041506562e+01
1.200960000000e+07 4.158083062057e+01
1.209600000000e+07 4.023562639470e+01
1.218240000000e+07 3.888629206740e+01
1.226880000000e+07 3.749241847605e+01
1.235520000000e+07 3.602992665596e+01
1.244160000000e+07 3.447842067268e+01
1.252800000000e+07 3.279776179143e+01
1.261440000000e+07 3.093172558662e+01
1.270080000000e+07 2.897510524826e+01
1.278720000000e+07 2.742202885803e+01
1.287360000000e+07 2.606606205702e+01
1.296000000000e+07 2.487022918387e+01
1.304640000000e+07 2.955323772592e+01
1.313280000000e+07 3.026070749514e+01
1.321920000000e+07 3.118662076561e+01
1.330560000000e+07 3.195623509665e+01
1.339200000000e+07 3.265511579010e+01
1.347840000000e+07 3.325352289457e+01
1.356480000000e+07 3.373926875986e+01
1.365120000000e+07 3.413997483583e+01
1.373760000000e+07 3.448812302013e+01
1.382400000000e+07 3.480650698594e+01
1.391040000000e+07 3.510868437810e+01
1.399680000000e+07 3.540269709704e+01
1.408320000000e+07 3.569423250203e+01
1.416960000000e+07 3.598885342942e+01
1.425600000000e+07 3.629376200111e+01
1.434240000000e+07 3.660484854099e+01
1.442880000000e+07 3.695009431550e+01
1.451520000000e+07 3.737454920531e+01
1.460160000000e+07 3.793614232349e+01
1.468800000000e+07 3.865999652219e+01
1.477440000000e+07 3.961643882027e+01
1.486080000000e+07 4.122611417196e+01
1.494720000000e+07 4.282176530545e+01
1.503360000000e+07 4.379575947123e+01
1.512000000000e+07 4.457407154855e+01
