# Observation File: surface_total_concentration_pflotran.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface total concentration
# Region: east conc
# Functional: average
# Variable: surface-total_component_concentration
# Number of Vectors: 4
# =============================================================================
"time [s]" "surface total concentration"
4.320000000000e+06 1.255320261326e-06 3.729135629736e-05 1.801801801802e-05 1.801801801802e-05
4.406400000000e+06 3.985907197492e-07 2.625692706066e-05 1.292917187446e-05 1.239182551660e-05
4.492800000000e+06 4.155565564608e-07 2.649709085850e-05 1.304078610883e-05 1.251346965558e-05
4.579200000000e+06 4.577788505175e-07 2.706557102279e-05 1.330391839663e-05 1.280241462699e-05
4.665600000000e+06 4.861657890222e-07 2.741761995890e-05 1.346575178040e-05 1.298241191629e-05
4.752000000000e+06 5.016237219062e-07 2.760375594137e-05 1.355109317180e-05 1.307779189205e-05
4.838400000000e+06 5.131765848775e-07 2.774631729938e-05 1.361659757021e-05 1.315070943264e-05
4.924800000000e+06 5.252121661532e-07 2.789715345509e-05 1.368599801689e-05 1.322777050077e-05
5.011200000000e+06 5.384662024548e-07 2.806279851913e-05 1.376268451116e-05 1.331195031579e-05
5.097600000000e+06 5.532146470906e-07 2.824543486504e-05 1.384758739122e-05 1.340443366536e-05
5.184000000000e+06 5.691799755980e-07 2.844151700002e-05 1.393882143551e-05 1.350364950046e-05
5.270400000000e+06 5.862983492374e-07 2.865024221011e-05 1.403628850149e-05 1.360893122119e-05
5.356800000000e+06 6.047771177821e-07 2.887387102197e-05 1.414167746211e-05 1.372082001505e-05
5.443200000000e+06 6.253496961028e-07 2.912108743091e-05 1.425981299247e-05 1.384296817797e-05
5.529600000000e+06 6.499484198769e-07 2.941508128750e-05 1.440235859950e-05 1.398628317310e-05
5.616000000000e+06 6.861270651037e-07 2.984830177320e-05 1.461332321513e-05 1.419660379541e-05
5.702400000000e+06 7.305526581126e-07 3.036911816561e-05 1.487060484903e-05 1.444598820941e-05
5.788800000000e+06 7.486496889068e-07 3.054817957423e-05 1.497620178870e-05 1.451551491177e-05
5.875200000000e+06 7.685443167782e-07 3.077314826327e-05 1.511099030127e-05 1.460086166811e-05
5.961600000000e+06 7.760995534427e-07 3.083747231237e-05 1.517639561168e-05 1.459985062098e-05
6.048000000000e+06 7.788154905012e-07 3.085237330650e-05 1.522287210630e-05 1.456998369000e-05
6.134400000000e+06 7.791565726839e-07 3.084042385295e-05 1.525908267998e-05 1.452442282704e-05
6.220800000000e+06 7.772952821854e-07 3.080215872474e-05 1.528400109917e-05 1.446464460833e-05
6.307200000000e+06 7.739330638701e-07 3.074664941173e-05 1.530110031541e-05 1.439594664508e-05
6.393600000000e+06 7.705226329830e-07 3.069180888608e-05 1.531847066005e-05 1.432762400115e-05
6.480000000000e+06 7.677552219735e-07 3.064504316769e-05 1.533953247896e-05 1.426344827841e-05
6.566400000000e+06 1.124858531041e-06 3.575042492831e-05 1.783239056610e-05 1.673565747152e-05
6.652800000000e+06 1.115522995670e-06 3.563428727786e-05 1.782168129133e-05 1.663589923704e-05
6.739200000000e+06 1.106940257866e-06 3.552705012352e-05 1.781184463221e-05 1.654373662466e-05
6.825600000000e+06 1.099077649624e-06 3.542839975094e-05 1.780289340479e-05 1.645886078429e-05
6.912000000000e+06 1.091997511262e-06 3.533923580360e-05 1.779488108902e-05 1.638207243616e-05
6.998400000000e+06 1.085821511545e-06 3.526120983401e-05 1.778792152487e-05 1.631482675094e-05
7.084800000000e+06 1.080627647248e-06 3.519541869472e-05 1.778208378076e-05 1.625809647845e-05
7.171200000000e+06 1.076410901795e-06 3.514189266130e-05 1.777734988027e-05 1.621192749779e-05
7.257600000000e+06 1.073093548911e-06 3.509971554346e-05 1.777362611173e-05 1.617554169465e-05
7.344000000000e+06 1.070555429570e-06 3.506740702306e-05 1.777077562509e-05 1.614766788394e-05
7.430400000000e+06 1.068661022317e-06 3.504327076360e-05 1.776864715406e-05 1.612684404657e-05
7.516800000000e+06 1.067281963907e-06 3.502568717522e-05 1.776709874545e-05 1.611167193006e-05
7.603200000000e+06 1.066316394257e-06 3.501336682737e-05 1.776601732381e-05 1.610103828649e-05
7.689600000000e+06 1.066040808068e-06 3.500984871035e-05 1.776570951401e-05 1.609800095123e-05
7.776000000000e+06 1.066040808068e-06 3.500984871035e-05 1.776570951401e-05 1.609800095123e-05
7.862400000000e+06 1.066040808068e-06 3.500984871035e-05 1.776570951401e-05 1.609800095123e-05
7.948800000000e+06 1.066040808068e-06 3.500984871035e-05 1.776570951401e-05 1.609800095123e-05
8.035200000000e+06 1.066040808068e-06 3.500984871035e-05 1.776570951401e-05 1.609800095123e-05
8.121600000000e+06 1.066040808068e-06 3.500984871035e-05 1.776570951401e-05 1.609800095123e-05
8.208000000000e+06 1.066040808068e-06 3.500984871035e-05 1.776570951401e-05 1.609800095123e-05
8.294400000000e+06 1.066040808068e-06 3.500984871035e-05 1.776570951401e-05 1.609800095123e-05
8.380800000000e+06 1.066040808068e-06 3.500984871035e-05 1.776570951401e-05 1.609800095123e-05
8.467200000000e+06 1.066040808068e-06 3.500984871035e-05 1.776570951401e-05 1.609800095123e-05
8.553600000000e+06 1.066040808068e-06 3.500984871035e-05 1.776570951401e-05 1.609800095123e-05
8.640000000000e+06 1.065998809963e-06 3.500931252424e-05 1.776566326773e-05 1.609753742251e-05
8.726400000000e+06 1.530266333664e-07 2.114284960957e-05 1.095963598150e-05 9.416310905071e-06
8.812800000000e+06 2.544495953209e-07 2.277985951335e-05 1.176621359462e-05 1.020214238649e-05
8.899200000000e+06 3.176226547174e-07 2.370152761202e-05 1.221743229315e-05 1.064732453303e-05
8.985600000000e+06 4.057956653720e-07 2.497396771008e-05 1.283966223590e-05 1.126261491789e-05
9.072000000000e+06 4.918355911681e-07 2.614369993578e-05 1.341284626322e-05 1.182712736738e-05
9.158400000000e+06 5.369183645391e-07 2.669841985088e-05 1.369846347684e-05 1.208178024830e-05
9.244800000000e+06 5.621756396353e-07 2.701089673991e-05 1.388431638482e-05 1.220160855246e-05
9.331200000000e+06 5.740471432670e-07 2.714827017888e-05 1.399942973638e-05 1.222267930911e-05
9.417600000000e+06 5.781091777042e-07 2.718671665765e-05 1.407596349918e-05 1.218664407579e-05
9.504000000000e+06 5.783804819891e-07 2.717834682365e-05 1.413550461687e-05 1.212238659032e-05
9.590400000000e+06 5.784048995497e-07 2.717085760529e-05 1.420002934535e-05 1.205424640020e-05
9.676800000000e+06 5.886499037101e-07 2.731747816874e-05 1.435010345603e-05 1.205098475038e-05
9.763200000000e+06 5.959581774845e-07 2.740905129623e-05 1.449187196156e-05 1.200349282004e-05
9.849600000000e+06 5.903053993288e-07 2.731129161639e-05 1.456681588509e-05 1.184007258675e-05
9.936000000000e+06 5.775194409750e-07 2.711761331069e-05 1.460824560340e-05 1.161759777531e-05
1.002240000000e+07 5.638994754899e-07 2.691492330043e-05 1.464470056629e-05 1.139130125140e-05
1.010880000000e+07 5.544129183755e-07 2.677648319819e-05 1.470864492628e-05 1.119978918718e-05
1.019520000000e+07 5.564924674323e-07 2.681240662234e-05 1.483011006683e-05 1.111884427990e-05
1.028160000000e+07 5.552900173474e-07 2.678204688493e-05 1.489842702628e-05 1.102547134640e-05
1.036800000000e+07 5.536658712945e-07 2.675828317333e-05 1.497130785901e-05 1.093402241708e-05
1.045440000000e+07 5.500281678926e-07 2.670769172638e-05 1.504668335120e-05 1.081482710943e-05
1.054080000000e+07 5.404249774728e-07 2.655687569268e-05 1.507956121441e-05 1.064100516993e-05
1.062720000000e+07 5.281479299319e-07 2.636673763892e-05 1.509233645939e-05 1.044899620872e-05
1.071360000000e+07 5.149279799712e-07 2.616292715303e-05 1.509709322250e-05 1.025163730170e-05
1.080000000000e+07 5.020232061264e-07 2.596407627674e-05 1.510345496350e-05 1.005745312011e-05
1.088640000000e+07 6.642259868712e-07 2.950712662761e-05 1.715676733222e-05 1.146720423999e-05
1.097280000000e+07 6.642848581758e-07 2.948918536197e-05 1.717975047857e-05 1.142848632899e-05
1.105920000000e+07 6.584884099086e-07 2.938932280758e-05 1.718416492857e-05 1.132981783602e-05
1.114560000000e+07 6.511175915371e-07 2.926855637720e-05 1.718182979808e-05 1.121775514105e-05
1.123200000000e+07 6.442109021363e-07 2.915652570913e-05 1.717778333817e-05 1.111558097188e-05
1.131840000000e+07 6.385303890618e-07 2.906484175702e-05 1.717356955777e-05 1.103282302186e-05
1.140480000000e+07 6.341257738441e-07 2.899435778587e-05 1.716942013840e-05 1.097006859053e-05
1.149120000000e+07 6.314661670217e-07 2.895223739362e-05 1.716637563227e-05 1.093310711951e-05
1.157760000000e+07 6.346454936094e-07 2.900138276111e-05 1.717160003069e-05 1.097469059172e-05
1.166400000000e+07 6.411842554120e-07 2.910269188446e-05 1.718152919133e-05 1.106117723006e-05
1.175040000000e+07 6.474291919031e-07 2.919909774579e-05 1.719094943712e-05 1.114350120513e-05
1.183680000000e+07 6.519313604458e-07 2.926836963297e-05 1.719773576308e-05 1.120263812441e-05
1.192320000000e+07 6.544844128353e-07 2.930754565128e-05 1.720160872791e-05 1.123605054436e-05
1.200960000000e+07 6.551177907828e-07 2.931724004125e-05 1.720258968686e-05 1.124429818728e-05
1.209600000000e+07 6.547718414802e-07 2.931180309768e-05 1.720222550930e-05 1.123950345898e-05
1.218240000000e+07 6.532447362434e-07 2.928824628598e-05 1.720007313131e-05 1.121925227001e-05
1.226880000000e+07 6.510576833290e-07 2.925453337930e-05 1.719691896538e-05 1.119033787669e-05
1.235520000000e+07 6.484686353380e-07 2.921460542024e-05 1.719313981972e-05 1.115613339662e-05
1.244160000000e+07 6.456677254723e-07 2.917137324062e-05 1.718901275188e-05 1.111913126295e-05
1.252800000000e+07 6.427939833188e-07 2.912697040138e-05 1.718474381390e-05 1.108115551100e-05
1.261440000000e+07 6.399530027322e-07 2.908302385900e-05 1.718049284773e-05 1.104359446920e-05
1.270080000000e+07 6.372137075958e-07 2.904060116763e-05 1.717636708224e-05 1.100735688153e-05
1.278720000000e+07 6.345752925303e-07 2.899969372664e-05 1.717236949252e-05 1.097243182157e-05
1.287360000000e+07 6.320398466618e-07 2.896033819182e-05 1.716850683749e-05 1.093884758904e-05
1.296000000000e+07 6.296071723945e-07 2.892253627347e-05 1.716478171151e-05 1.090660335036e-05
1.304640000000e+07 3.113208198740e-07 2.374459483921e-05 1.417922386405e-05 8.831911433510e-06
1.313280000000e+07 3.175863120408e-07 2.383234739882e-05 1.424463392308e-05 8.853057340916e-06
1.321920000000e+07 3.255688548015e-07 2.394706833290e-05 1.432653450127e-05 8.884118868702e-06
1.330560000000e+07 3.319271016349e-07 2.402846682266e-05 1.438963873696e-05 8.901434281892e-06
1.339200000000e+07 3.369876517333e-07 2.409185441951e-05 1.444371216425e-05 8.910251906625e-06
1.347840000000e+07 3.405764259058e-07 2.413311771320e-05 1.448709948265e-05 8.908245580248e-06
1.356480000000e+07 3.426228089538e-07 2.415125258529e-05 1.451976686493e-05 8.894497143301e-06
1.365120000000e+07 3.434332269834e-07 2.415097087728e-05 1.454457876029e-05 8.870754780898e-06
1.373760000000e+07 3.433736977334e-07 2.413757979932e-05 1.456440112972e-05 8.839328597760e-06
1.382400000000e+07 3.427201666786e-07 2.411502956414e-05 1.458115318398e-05 8.802140559187e-06
1.391040000000e+07 3.416523767888e-07 2.408592623381e-05 1.459596988634e-05 8.760582652580e-06
1.399680000000e+07 3.402891013668e-07 2.405202573767e-05 1.460953545809e-05 8.715669084606e-06
1.408320000000e+07 3.387140874987e-07 2.401459863600e-05 1.462232881064e-05 8.668148946036e-06
